tuffet.svg,tuffet
turtle.svg,turtle
txt.svg,txt
typewriter.svg,typewriter
uniform.svg,uniform
usb.svg,usb
users.svg,users
veterinary.svg,veterinary
video-camera.svg,video,camera
video-card.svg,video,card
video.svg,video
vinyl.svg,vinyl
viral-marketing.svg,viral,marketing
walkman.svg,walkman
wallet.svg,wallet
wardrobe.svg,wardrobe
water.svg,water
watercolor.svg,watercolor
weight.svg,weight
wheel.svg,wheel
whistle.svg,whistle
worldwide.svg,worldwide
xls.svg,xls
xml.svg,xml
yen.svg,yen
yoga-ball.svg,yoga,ball
zip.svg,zip
